"","rules","support","confidence","coverage","lift","count"
"14","{Lime Sparkling Water,Sparkling Water Berry} => {Sparkling Water Grapefruit}",0.00228963938179737,0.842105263157895,0.00271894676588437,24.3166594171379,16
"18","{Lime Sparkling Water,Peach Pear Flavored Sparkling Water} => {Sparkling Water Grapefruit}",0.00228963938179737,0.842105263157895,0.00271894676588437,24.3166594171379,16
"12","{Non Fat Raspberry Yogurt,Nonfat Icelandic Style Strawberry Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}",0.00214653692043503,0.882352941176471,0.0024327418431597,81.1300309597523,15
"17","{Peach Pear Flavored Sparkling Water,Sparkling Lemon Water} => {Sparkling Water Grapefruit}",0.00171722953634803,0.8,0.00214653692043503,23.100826446281,12
"10","{Non Fat Acai & Mixed Berries Yogurt,Nonfat Icelandic Style Strawberry Yogurt} => {Non Fat Raspberry Yogurt}",0.00128792215226102,0.9,0.00143102461362335,95.2909090909091,9
"11","{Non Fat Acai & Mixed Berries Yogurt,Nonfat Icelandic Style Strawberry Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}",0.00128792215226102,0.9,0.00143102461362335,82.7526315789474,9
"19","{Organic Mint,Organic Red Onion} => {Organic Cilantro}",0.00128792215226102,0.818181818181818,0.00157412707498569,20.5663832570307,9
"30","{Garlic,Organic Whole Milk} => {Banana}",0.00128792215226102,0.818181818181818,0.00157412707498569,3.92682317682318,9
"2","{Mighty 4 Kale Strawberry Amaranth & Greek Yogurt Tots Snack} => {Mighty 4 Sweet Potato Blueberry Millet & Greek Yogurt Tots Snack}",0.00114481969089868,0.8,0.00143102461362335,372.693333333333,8
"7","{2% Reduced Fat Milk,Fresh CA Grown Eggs} => {Banana}",0.00114481969089868,0.888888888888889,0.00128792215226102,4.26617826617827,8
"13","{Bag of Organic Bananas,Bing Cherries} => {Organic Strawberries}",0.00114481969089868,0.8,0.00143102461362335,6.1568281938326,8
"16","{Peach Pear Flavored Sparkling Water,Pure Sparkling Water} => {Sparkling Water Grapefruit}",0.00114481969089868,0.8,0.00143102461362335,23.100826446281,8
"20","{Organic Cilantro,Organic Shredded Carrots} => {Limes}",0.00114481969089868,0.8,0.00143102461362335,10.6687022900763,8
"21","{Organic Red Cabbage,Organic Small Bunch Celery} => {Organic Cucumber}",0.00114481969089868,0.8,0.00143102461362335,17.0960244648318,8
"24","{Icelandic Style Skyr Blueberry Non-fat Yogurt,Organic Fuji Apple} => {Banana}",0.00114481969089868,0.888888888888889,0.00128792215226102,4.26617826617827,8
"25","{Organic Fuji Apple,Total 0% Nonfat Greek Yogurt} => {Banana}",0.00114481969089868,0.888888888888889,0.00128792215226102,4.26617826617827,8
"27","{Organic Romaine,Seedless Red Grapes} => {Organic Strawberries}",0.00114481969089868,0.888888888888889,0.00128792215226102,6.84092021536955,8
